count,1,2,3,4,5,6,7,persons,amounts,total,odd,even,yellow,blue,red,green,gray,band,1continue,2continue,3continue,4continue,endigDigit
196,35,36,37,41,44,45,30,15,"727,876,520",238,4,2,0,0,0,3,3,2,0,1,0,0,2
197,7,12,16,34,42,45,4,6,"1,803,018,300",156,2,4,1,2,0,1,2,4,0,0,0,0,2
198,12,19,20,25,41,45,2,6,"1,797,855,050",162,4,2,0,3,1,0,2,3,1,0,0,0,2
199,14,21,22,25,30,36,43,2,"5,344,252,200",148,2,4,0,1,4,1,0,3,1,0,0,0,1
200,5,6,13,14,17,20,7,8,"1,344,616,613",75,3,3,2,4,0,0,0,2,1,0,0,0,1
201,3,11,24,38,39,44,26,1,"9,719,465,400",159,3,3,1,1,1,2,1,5,1,0,0,0,2
202,12,14,27,33,39,44,17,6,"1,893,391,700",169,3,3,0,2,1,2,1,4,0,0,0,0,2
203,1,3,11,24,30,32,7,5,"2,164,564,740",101,3,3,2,1,2,1,0,4,0,0,0,0,2
204,3,12,14,35,40,45,5,8,"1,358,347,125",149,3,3,1,2,0,2,1,4,0,0,0,0,2
205,1,3,21,29,35,37,30,6,"1,835,221,800",126,6,0,2,0,2,2,0,3,0,0,0,0,2
206,1,2,3,15,20,25,43,5,"2,032,859,340",66,4,2,3,2,1,0,0,3,0,1,0,0,2
207,3,11,14,31,32,37,38,5,"2,104,673,760",128,4,2,1,2,0,3,0,3,1,0,0,0,2
208,14,25,31,34,40,44,24,6,"1,760,767,400",188,2,4,0,1,1,3,1,4,0,0,0,0,3
209,2,7,18,20,24,33,37,6,"1,660,896,350",104,2,4,2,2,1,1,0,4,0,0,0,0,1
210,10,19,22,23,25,37,39,2,"5,139,085,950",136,4,2,1,1,3,1,0,4,1,0,0,0,1
211,12,13,17,20,33,41,8,10,"1,035,800,250",136,4,2,0,4,0,1,1,3,1,0,0,0,2
212,11,12,18,21,31,38,8,4,"2,660,747,250",131,3,3,0,3,1,2,0,3,1,0,0,0,3
213,2,3,4,5,20,24,42,8,"1,376,678,025",58,2,4,4,1,1,0,0,3,0,0,1,0,2
214,5,7,20,25,28,37,32,8,"1,406,980,875",122,4,2,2,1,2,1,0,4,0,0,0,0,2
215,2,3,7,15,43,44,4,7,"1,587,689,615",114,4,2,3,1,0,0,2,3,1,0,0,0,2
216,7,16,17,33,36,40,1,13,"848,506,108",149,3,3,1,2,0,3,0,3,1,0,0,0,2
217,16,20,27,33,35,39,38,7,"1,611,246,172",170,4,2,0,2,1,3,0,3,0,0,0,0,1
218,1,8,14,18,29,44,20,4,"2,779,075,800",114,2,4,2,2,1,0,1,4,0,0,0,0,2
219,4,11,20,26,35,37,16,9,"1,208,409,167",133,3,3,1,2,1,2,0,4,0,0,0,0,1
220,5,11,19,21,34,43,31,6,"1,958,094,950",133,5,1,1,2,1,1,1,5,0,0,0,0,2
221,2,20,33,35,37,40,10,6,"1,800,104,250",167,3,3,1,1,0,4,0,3,0,0,0,0,2
222,5,7,28,29,39,43,44,5,"2,275,193,820",151,5,1,2,0,2,1,1,4,1,0,0,0,2
223,1,3,18,20,26,27,38,7,"1,498,170,600",95,3,3,2,2,2,0,0,3,1,0,0,0,1
224,4,19,26,27,30,42,7,6,"1,808,969,950",148,2,4,1,1,3,0,1,4,1,0,0,0,1
225,5,11,13,19,31,36,7,6,"1,777,201,800",115,5,1,1,3,0,2,0,3,0,0,0,0,2
226,2,6,8,14,21,22,34,6,"1,744,100,150",73,1,5,3,1,2,0,0,3,1,0,0,0,2
227,4,5,15,16,22,42,2,2,"5,253,542,400",104,2,4,2,2,1,0,1,4,1,0,0,0,2
228,17,25,35,36,39,44,23,9,"1,146,700,334",196,4,2,0,1,1,3,1,4,1,0,0,0,2
229,4,5,9,11,23,38,35,7,"1,451,441,100",90,4,2,3,1,1,1,0,4,1,0,0,0,1
230,5,11,14,29,32,33,12,8,"1,292,929,163",124,4,2,1,2,1,2,0,4,1,0,0,0,1
231,5,10,19,31,44,45,27,9,"1,088,365,900",154,4,2,2,1,0,1,2,4,1,0,0,0,2
232,8,9,10,12,24,44,35,9,"1,110,918,400",107,1,5,3,1,1,0,1,4,0,1,0,0,2
233,4,6,13,17,28,40,39,10,"999,153,750",108,2,4,2,2,1,1,0,4,0,0,0,0,1
234,13,21,22,24,26,37,4,4,"2,519,743,875",143,3,3,0,1,4,1,0,3,1,0,0,0,1
235,21,22,26,27,31,37,8,3,"3,433,330,100",164,4,2,0,0,4,2,0,2,1,0,0,0,2
236,1,4,8,13,37,39,7,2,"5,030,040,150",102,4,2,3,1,0,2,0,3,0,0,0,0,1
237,1,11,17,21,24,44,33,7,"1,440,630,729",118,4,2,1,2,2,0,1,4,0,0,0,0,3
238,2,4,15,28,31,34,35,9,"1,121,660,567",114,2,4,2,1,1,2,0,4,0,0,0,0,2
239,11,15,24,39,41,44,7,9,"1,134,140,167",174,4,2,0,2,1,1,2,4,0,0,0,0,2
240,6,10,16,40,41,43,21,2,"5,098,251,450",156,2,4,2,1,0,1,2,4,1,0,0,0,2
241,2,16,24,27,28,35,21,4,"2,552,016,300",132,2,4,1,1,3,1,0,4,1,0,0,0,1
242,4,19,20,21,32,34,43,8,"1,234,542,375",130,2,4,1,2,1,2,0,4,0,1,0,0,2
243,2,12,17,19,28,42,34,4,"2,408,850,000",120,2,4,1,3,1,0,1,4,0,0,0,0,3
244,13,16,25,36,37,38,19,1,"9,121,583,100",165,3,3,0,2,1,3,0,3,0,1,0,0,2
245,9,11,27,31,32,38,22,7,"1,382,583,129",148,4,2,1,1,1,3,0,4,1,0,0,0,2
246,13,18,21,23,26,39,15,5,"1,911,774,240",140,4,2,0,2,3,1,0,3,0,0,0,0,2
247,12,15,28,36,39,40,13,6,"1,669,313,900",170,2,4,0,2,1,3,0,3,1,0,0,0,1
248,3,8,17,23,38,45,13,8,"1,227,479,363",134,4,2,2,1,1,1,1,5,0,0,0,0,2
249,3,8,27,31,41,44,11,6,"1,663,568,700",154,4,2,2,0,1,1,2,4,0,0,0,0,2
250,19,23,30,37,43,45,38,5,"1,994,726,280",197,5,1,0,1,2,1,2,4,0,0,0,0,2
251,6,7,19,25,28,38,45,8,"1,282,616,400",123,3,3,2,1,2,1,0,4,1,0,0,0,2
252,14,23,26,31,39,45,28,7,"1,391,089,715",178,4,2,0,1,2,2,1,4,0,0,0,0,1
253,8,19,25,31,34,36,33,4,"2,466,189,525",153,3,3,1,1,1,3,0,4,0,0,0,0,1
254,1,5,19,20,24,30,27,1,"9,741,015,900",99,3,3,2,2,2,0,0,3,1,0,0,0,2
255,1,5,6,24,27,42,32,6,"1,598,618,550",105,3,3,3,0,2,0,1,3,1,0,0,0,1
256,4,11,14,21,23,43,32,2,"4,891,017,000",116,4,2,1,2,2,0,1,4,0,0,0,0,2
257,6,13,27,31,32,37,4,4,"2,391,377,025",146,4,2,1,1,1,3,0,4,1,0,0,0,2
258,14,27,30,31,38,40,17,4,"2,426,434,350",180,2,4,0,1,2,3,0,3,1,0,0,0,2
259,4,5,14,35,42,45,34,2,"4,838,533,500",145,3,3,2,1,0,1,2,4,1,0,0,0,3
260,7,12,15,24,37,40,43,4,"2,310,085,575",135,3,3,1,2,1,2,0,4,0,0,0,0,2
261,6,11,16,18,31,43,2,3,"3,192,299,100",125,3,3,1,3,0,1,1,4,0,0,0,0,2
262,9,12,24,25,29,31,36,2,"4,518,741,600",130,4,2,1,1,3,1,0,4,1,0,0,0,2
263,1,27,28,32,37,40,18,6,"1,551,704,900",165,3,3,1,0,2,3,0,3,1,0,0,0,2
264,9,16,27,36,41,44,5,7,"1,344,889,200",173,3,3,1,1,1,1,2,5,0,0,0,0,2
265,5,9,34,37,38,39,12,8,"1,200,838,575",162,4,2,2,0,0,4,0,2,0,1,0,0,2
266,3,4,9,11,22,42,37,3,"3,207,211,700",91,3,3,3,1,1,0,1,4,1,0,0,0,2
267,7,8,24,34,36,41,1,3,"3,257,663,300",150,2,4,2,0,1,2,1,4,1,0,0,0,2
268,3,10,19,24,32,45,12,7,"1,350,954,515",133,3,3,2,1,1,1,1,5,0,0,0,0,1
269,5,18,20,36,42,43,32,5,"1,961,399,940",164,2,4,1,2,0,1,2,4,1,0,0,0,1
270,5,9,12,20,21,26,27,5,"1,927,830,060",93,3,3,2,2,2,0,0,3,1,0,0,0,1
271,3,8,9,27,29,40,36,6,"1,565,918,150",116,4,2,3,0,2,1,0,3,1,0,0,0,2
272,7,9,12,27,39,43,28,9,"1,104,622,800",137,5,1,2,1,1,1,1,5,0,0,0,0,2
273,1,8,24,31,34,44,6,3,"3,339,543,100",142,2,4,2,0,1,2,1,4,0,0,0,0,3
274,13,14,15,26,35,39,25,4,"2,505,085,575",142,4,2,0,3,1,2,0,3,0,1,0,0,2
275,14,19,20,35,38,40,26,1,"10,044,066,900",166,2,4,0,3,0,3,0,2,1,0,0,0,2
276,4,15,21,33,39,41,25,3,"3,312,569,000",153,5,1,1,1,1,2,1,5,0,0,0,0,2
277,10,12,13,15,25,29,20,3,"3,272,627,800",104,4,2,1,3,2,0,0,3,1,0,0,0,2
278,3,11,37,39,41,43,13,3,"3,186,530,000",174,6,0,1,1,0,2,2,4,0,0,0,0,2
279,7,16,31,36,37,38,11,5,"1,914,205,320",165,3,3,1,1,0,4,0,3,0,1,0,0,2
280,10,11,23,24,36,37,35,7,"1,355,258,529",141,3,3,1,1,2,2,0,4,1,0,0,0,1
281,1,3,4,6,14,41,12,6,"1,554,683,200",69,3,3,4,1,0,0,1,3,1,0,0,0,2
282,2,5,10,18,31,32,30,7,"1,322,052,643",98,2,4,3,1,0,2,0,3,1,0,0,0,2
283,6,8,18,31,38,45,42,3,"3,137,224,600",146,2,4,2,1,0,2,1,4,0,0,0,0,3
284,2,7,15,24,30,45,28,3,"3,117,640,300",123,3,3,2,1,2,0,1,4,0,0,0,0,2
285,13,33,37,40,41,45,2,3,"3,164,370,100",209,5,1,0,1,0,3,2,3,1,0,0,0,2
286,1,15,19,40,42,44,17,3,"3,236,566,300",161,3,3,1,2,0,1,2,4,0,0,0,0,1
287,6,12,24,27,35,37,41,7,"1,328,657,100",141,3,3,1,1,2,2,0,4,0,0,0,0,2
288,1,12,17,28,35,41,10,4,"2,357,261,550",134,4,2,1,2,1,1,1,5,0,0,0,0,2
289,3,14,33,37,38,42,10,0,0,167,3,3,1,1,0,3,1,4,1,0,0,0,2
290,8,13,18,32,39,45,7,13,"2,149,214,424",155,3,3,1,2,0,2,1,4,0,0,0,0,2
291,3,7,8,18,20,42,45,7,"1,450,585,200",98,2,4,3,2,0,0,1,3,1,0,0,0,2
292,17,18,31,32,33,34,10,14,"720,373,950",165,3,3,0,2,0,4,0,2,0,0,1,0,1
293,1,9,17,21,29,33,24,6,"1,656,764,400",110,6,0,2,1,2,1,0,4,0,0,0,0,2
294,6,10,17,30,37,38,40,4,"2,406,504,975",138,2,4,2,1,1,2,0,4,1,0,0,0,2
295,1,4,12,16,18,38,8,0,0,89,1,5,2,3,0,1,0,3,0,0,0,0,2
296,3,8,15,27,30,45,44,8,"3,066,088,275",128,4,2,2,1,2,0,1,4,0,0,0,0,2
297,6,11,19,20,28,32,34,2,"5,056,668,750",116,2,4,1,3,1,1,0,4,1,0,0,0,1
298,5,9,27,29,37,40,19,1,"9,909,778,500",147,5,1,2,0,2,2,0,3,0,0,0,0,2
299,1,3,20,25,36,45,24,7,"1,483,772,529",130,4,2,2,1,1,1,1,5,0,0,0,0,2
300,7,9,10,12,26,38,39,12,"836,092,425",102,2,4,3,1,1,1,0,4,1,0,0,0,1
301,7,11,13,33,37,43,26,7,"1,447,385,015",144,6,0,1,2,0,2,1,4,0,0,0,0,3
302,13,19,20,32,38,42,4,2,"5,472,167,250",164,2,4,0,3,0,2,1,3,1,0,0,0,2
303,2,14,17,30,38,45,43,6,"1,672,749,000",146,2,4,1,2,1,1,1,5,0,0,0,0,1
304,4,10,16,26,33,41,38,6,"1,661,646,150",130,2,4,2,1,1,1,1,5,0,0,0,0,2
305,7,8,18,21,23,39,9,5,"2,008,210,140",116,4,2,2,1,2,1,0,4,1,0,0,0,2
306,4,18,23,30,34,41,19,5,"2,102,669,520",150,2,4,1,1,2,1,1,5,0,0,0,0,2
307,5,15,21,23,25,45,12,4,"2,587,643,250",134,6,0,1,1,3,0,1,4,0,0,0,0,4
308,14,15,17,19,37,45,40,1,"10,232,872,800",147,5,1,0,4,0,1,1,3,1,0,0,0,2
309,1,2,5,11,18,36,22,11,"901,622,946",73,3,3,3,2,0,1,0,3,1,0,0,0,2
310,1,5,19,28,34,41,16,8,"1,296,713,325",128,4,2,2,1,1,1,1,5,0,0,0,0,2
311,4,12,24,27,28,32,10,8,"1,237,691,063",127,1,5,1,1,3,1,0,4,1,0,0,0,2
312,2,3,5,6,12,20,25,15,"629,017,820",48,2,4,4,2,0,0,0,2,1,0,0,0,2
313,9,17,34,35,43,45,2,6,"1,715,422,800",183,5,1,1,1,0,2,2,4,1,0,0,0,2
314,15,17,19,34,38,41,2,6,"1,660,512,200",164,4,2,0,3,0,2,1,3,0,0,0,0,1
315,1,13,33,35,43,45,23,8,"1,308,728,625",170,6,0,1,1,0,2,2,4,0,0,0,0,3
316,10,11,21,27,31,39,43,6,"1,673,586,400",139,5,1,1,1,2,2,0,4,1,0,0,0,3
317,3,10,11,22,36,39,8,4,"2,576,258,550",121,3,3,2,1,1,2,0,4,1,0,0,0,1
318,2,17,19,20,34,45,21,9,"1,207,436,600",137,3,3,1,3,0,1,1,4,1,0,0,0,1
319,5,8,22,28,33,42,37,5,"2,135,659,380",138,2,4,2,0,2,1,1,4,0,0,0,0,2
320,16,19,23,25,41,45,3,2,"5,513,067,900",169,5,1,0,2,2,0,2,3,0,0,0,0,2
321,12,18,20,21,25,34,42,6,"1,959,136,100",130,2,4,0,3,2,1,0,3,1,0,0,0,1
322,9,18,29,32,38,43,20,6,"1,904,544,700",169,3,3,1,1,1,2,1,5,0,0,0,0,2
323,10,14,15,32,36,42,3,8,"1,461,025,388",149,1,5,1,2,0,2,1,4,1,0,0,0,2
324,2,4,21,25,33,36,17,6,"1,865,130,350",121,3,3,2,0,2,2,0,3,0,0,0,0,1
325,7,17,20,32,44,45,33,6,"1,806,122,450",165,3,3,1,2,0,1,2,4,1,0,0,0,2
326,16,23,25,33,36,39,40,6,"1,832,134,550",172,4,2,0,1,2,3,0,3,0,0,0,0,2
327,6,12,13,17,32,44,24,12,"882,674,750",124,2,4,1,3,0,1,1,4,1,0,0,0,2
328,1,6,9,16,17,28,24,6,"1,819,795,900",77,3,3,3,2,1,0,0,3,1,0,0,0,2
329,9,17,19,30,35,42,4,6,"1,830,391,200",152,4,2,1,2,1,1,1,5,0,0,0,0,2
330,3,4,16,17,19,20,23,9,"1,162,280,200",79,3,3,2,4,0,0,0,2,1,0,0,0,1
331,4,9,14,26,31,44,39,5,"2,165,902,620",128,2,4,2,1,1,1,1,5,0,0,0,0,3
332,16,17,34,36,42,45,3,8,"1,359,448,388",190,2,4,0,2,0,2,2,3,1,0,0,0,2
333,5,14,27,30,39,43,35,7,"1,550,987,143",158,4,2,1,1,2,1,1,5,0,0,0,0,1
334,13,15,21,29,39,43,33,7,"1,523,002,972",160,6,0,0,2,2,1,1,4,0,0,0,0,2
335,5,9,16,23,26,45,21,5,"2,037,492,480",124,4,2,2,1,2,0,1,4,0,0,0,0,2
336,3,5,20,34,35,44,16,6,"1,685,632,650",141,3,3,2,1,0,2,1,4,1,0,0,0,2
337,1,5,14,18,32,37,4,8,"1,257,500,513",107,3,3,2,2,0,2,0,3,0,0,0,0,1
338,2,13,34,38,42,45,16,3,"3,383,431,000",174,2,4,1,1,0,2,2,4,0,0,0,0,2
339,6,8,14,21,30,37,45,9,"1,096,778,334",116,2,4,2,1,2,1,0,4,0,0,0,0,1
340,18,24,26,29,34,38,32,7,"1,439,393,186",169,1,5,0,1,3,2,0,3,0,0,0,0,2
341,1,8,19,34,39,43,41,7,"1,497,207,772",144,4,2,2,1,0,2,1,4,0,0,0,0,2
342,1,13,14,33,34,43,25,3,"3,454,095,800",138,4,2,1,2,0,2,1,4,1,0,0,0,3
343,1,10,17,29,31,43,15,6,"1,717,153,000",131,5,1,2,1,1,1,1,5,0,0,0,0,2
344,1,2,15,28,34,45,38,7,"1,467,106,543",125,3,3,2,1,1,1,1,5,1,0,0,0,2
345,15,20,23,29,39,42,2,2,"5,203,577,550",168,4,2,0,2,2,1,1,4,0,0,0,0,2
346,5,13,14,22,44,45,33,5,"2,017,727,340",143,3,3,1,2,1,0,2,4,1,0,0,0,2
347,3,8,13,27,32,42,10,7,"1,456,624,286",125,3,3,2,1,1,1,1,5,0,0,0,0,2
348,3,14,17,20,24,31,34,3,"3,299,994,000",109,3,3,1,3,1,1,0,4,0,0,0,0,2
349,5,13,14,20,24,25,36,3,"3,353,209,000",101,3,3,1,3,2,0,0,3,1,0,0,0,2
350,1,8,18,24,29,33,35,9,"1,101,052,467",113,3,3,2,1,2,1,0,4,0,0,0,0,2
351,5,25,27,29,34,36,33,4,"2,583,357,150",156,4,2,1,0,3,2,0,3,0,0,0,0,2
352,5,16,17,20,26,41,24,6,"1,732,858,250",125,3,3,1,3,1,0,1,4,1,0,0,0,2
353,11,16,19,22,29,36,26,2,"5,290,838,250",133,3,3,0,3,2,1,0,3,0,0,0,0,2
354,14,19,36,43,44,45,1,5,"2,124,464,340",201,3,3,0,2,0,1,3,3,0,1,0,0,2
355,5,8,29,30,35,44,38,5,"2,145,424,800",151,3,3,2,0,2,1,1,4,1,0,0,0,2
356,2,8,14,25,29,45,24,9,"1,157,185,267",123,3,3,2,1,2,0,1,4,0,0,0,0,2
357,10,14,18,21,36,37,5,2,"5,313,394,350",136,2,4,1,2,1,2,0,4,1,0,0,0,1
358,1,9,10,12,21,40,37,3,"3,472,654,900",93,3,3,3,1,1,1,0,4,1,0,0,0,2
359,1,10,19,20,24,40,23,8,"1,286,712,600",114,2,4,2,2,1,1,0,4,1,0,0,0,3
360,4,16,23,25,35,40,27,3,"3,566,716,200",143,3,3,1,1,2,2,0,4,0,0,0,0,2
361,5,10,16,24,27,35,33,7,"1,473,115,115",117,3,3,2,1,2,1,0,4,0,0,0,0,2
362,2,3,22,27,30,40,29,6,"1,729,424,650",124,2,4,2,0,3,1,0,3,1,0,0,0,2
363,11,12,14,21,32,38,6,4,"2,615,910,600",128,2,4,0,3,1,2,0,3,1,0,0,0,2
364,2,5,7,14,16,40,4,4,"2,531,914,800",84,2,4,3,2,0,1,0,3,0,0,0,0,1
365,5,15,21,25,26,30,31,1,"10,697,716,800",122,4,2,1,1,4,0,0,3,1,0,0,0,3
366,5,12,19,26,27,44,38,2,"5,351,553,900",133,3,3,1,2,2,0,1,4,1,0,0,0,1
367,3,22,25,29,32,44,19,7,"1,581,736,586",155,3,3,1,0,3,1,1,4,0,0,0,0,2
368,11,21,24,30,39,45,26,7,"1,465,825,115",170,4,2,0,1,3,1,1,4,0,0,0,0,2
369,17,20,35,36,41,43,21,6,"1,842,177,750",192,4,2,0,2,0,2,2,3,1,0,0,0,1
370,16,18,24,42,44,45,17,7,"1,678,941,943",189,1,5,0,2,1,0,3,3,1,0,0,0,2
371,7,9,15,26,27,42,18,7,"1,524,130,543",126,4,2,2,1,2,0,1,4,1,0,0,0,2
372,8,11,14,16,18,21,13,9,"1,192,593,200",88,2,4,1,4,1,0,0,3,0,0,0,0,2
373,15,26,37,42,43,45,9,4,"2,791,801,125",208,4,2,0,1,1,1,3,4,1,0,0,0,2
374,11,13,15,17,25,34,26,2,"5,528,717,850",115,5,1,0,4,1,1,0,3,0,0,0,0,2
375,4,8,19,25,27,45,7,7,"1,581,284,058",128,4,2,2,1,2,0,1,4,0,0,0,0,2
376,1,11,13,24,28,40,7,6,"1,956,915,800",117,3,3,1,2,2,1,0,4,0,0,0,0,2
377,6,22,29,37,43,45,23,3,"3,912,085,400",182,4,2,1,0,2,1,2,4,0,0,0,0,1
378,5,22,29,31,34,39,43,5,"2,317,698,240",160,4,2,1,0,2,3,0,3,0,0,0,0,2
379,6,10,22,31,35,40,19,7,"1,598,999,786",144,2,4,2,0,1,3,0,3,0,0,0,0,2
380,1,2,8,17,26,37,27,4,"2,684,274,825",91,3,3,3,1,1,1,0,4,1,0,0,0,2
381,1,5,10,12,16,20,11,19,"565,738,895",64,2,4,3,3,0,0,0,2,0,0,0,0,2
382,10,15,22,24,27,42,19,6,"1,846,674,900",140,2,4,1,1,3,0,1,4,0,0,0,0,2
383,4,15,28,33,37,40,25,3,"3,596,522,100",157,3,3,1,1,1,3,0,4,0,0,0,0,1
384,11,22,24,32,36,38,7,3,"3,658,734,200",163,1,5,0,1,2,3,0,3,0,0,0,0,2
385,7,12,19,21,29,32,9,7,"1,542,032,700",120,4,2,1,2,2,1,0,4,0,0,0,0,2
386,4,7,10,19,31,40,26,10,"1,042,953,330",111,3,3,3,1,0,2,0,3,0,0,0,0,2
387,1,26,31,34,40,43,20,4,"2,675,533,500",175,3,3,1,0,1,3,1,4,0,0,0,0,2
388,1,8,9,17,29,32,45,4,"2,545,543,875",96,4,2,3,1,1,1,0,4,1,0,0,0,2
389,7,16,18,20,23,26,3,5,"2,119,027,020",110,2,4,1,3,2,0,0,3,0,0,0,0,2
